quote_id,quote,source,mood
happy_01,The power of finding beauty in the humblest things makes home happy and life lovely.,Louisa May Alcott,Happy
happy_02,One joy scatters a hundred griefs.,Chinese Proverb,Happy
happy_03,"With true friends, even water drunk together is sweet enough.",Chinese Proverb,Happy
happy_04,Those who wish to sing always find a song.,Swedish Proverb,Happy
happy_05,Happiness depends upon ourselves.,Aristotle,Happy
happy_06,The joy of life is to love and be loved.,George Sand,Happy
happy_07,The best way to cheer yourself up is to try to cheer somebody else up.,Mark Twain,Happy
happy_08,Happiness is a perfume you cannot pour on others without getting a few drops on yourself.,Ralph Waldo Emerson,Happy
happy_09,A merry heart lives long.,Irish Proverb,Happy
happy_10,"The more one meditates upon good thoughts, the better will be his world and the world at large.",Confucius,Happy
happy_11,"The sun does not shine for a few trees and flowers, but for the wide world's joy.",Henry Ward Beecher,Happy
happy_12,The happiest people are those who think the most interesting thoughts.,William Lyon Phelps,Happy
happy_13,Happiness is not perfected until it is shared.,Jane Porter,Happy
happy_14,"The secret of happiness is freedom, the secret of freedom is courage.",Thucydides,Happy
happy_15,There is no happiness like that of being loved by your fellow creatures.,Charlotte Brontë,Happy
happy_16,Blessed are those who see beautiful things in humble places where other people see nothing.,Camille Pissarro,Happy
happy_17,Happiness consists more in small conveniences...that occur every day than in great pieces of good fortune.,Benjamin Franklin,Happy
happy_18,The joy of the heart is the life of man.,Latin Proverb,Happy
happy_19,The joy of the spirit is the measure of its power.,Ninon de L'Enclos,Happy
happy_20,A contented mind is a perpetual feast.,Latin Proverb,Happy
happy_21,"He is happiest, be he king or peasant, who finds peace in his home.",Johann Wolfgang von Goethe,Happy
happy_22,We are shaped and fashioned by what we love.,Johann Wolfgang von Goethe,Happy
happy_23,Happiness is a state of activity.,Aristotle,Happy
happy_24,The essence of pleasure is spontaneity.,Germaine de Staël,Happy
happy_25,The years teach much which the days never know.,Ralph Waldo Emerson,Happy
happy_26,Let us be grateful to the people who make us happy.,Marcel Proust,Happy
happy_27,He is the richest who is content with the least; for content is the wealth of nature.,Socrates,Happy
happy_28,"When you arise in the morning, think of what a precious privilege it is to be alive.",Marcus Aurelius,Happy
happy_29,"Happiness grows at our own firesides, and is not to be picked in strangers' gardens.",Douglas Jerrold,Happy
happy_30,"True happiness is... to enjoy the present, without anxious dependence upon the future.",Seneca,Happy
sad_01,"Even in our sleep, pain which cannot be forgotten falls drop by drop upon the heart.",Aeschylus,Sad
sad_02,"The darker the night, the brighter the stars.",Fyodor Dostoevsky,Sad
sad_03,Loneliness is the poverty of self.,Seneca,Sad
sad_04,The keenest sorrow is to recognize ourselves as the sole cause of our adversities.,Sophocles,Sad
sad_05,Lost time is never found again.,Benjamin Franklin,Sad
sad_06,To weep is to lessen the depth of grief.,William Shakespeare,Sad
sad_07,The remembrance of things past is not always pleasant.,Aristotle,Sad
sad_08,The worst solitude is to be destitute of friendship.,Francis Bacon,Sad
sad_09,Even the weariest river winds somewhere to the sea.,Algernon Charles Swinburne,Sad
sad_10,The heart was made to be broken.,Oscar Wilde,Sad
sad_11,A day of unhappiness is longer than a month of joy.,Chinese Proverb,Sad
sad_12,The bitterest tears are shed for words left unsaid.,Harriet Beecher Stowe,Sad
sad_13,"Time, the devourer of all things.",Ovid,Sad
sad_14,"When sorrows come, they come not single spies, but in battalions.",William Shakespeare,Sad
sad_15,The remembrance of sorrow is also sorrowful.,Cicero,Sad
sad_16,Silence is true wisdom's best reply.,Euripides,Sad
sad_17,There is a joy in sorrow which none but a mourner can know.,Jean Paul Richter,Sad
sad_18,Every man has his secret griefs which the world knows not.,Henry Wadsworth Longfellow,Sad
sad_19,The soul would have no rainbow if the eyes had no tears.,Native American Proverb,Sad
sad_20,"The tragedy of life is not death, but what dies within us while we live.",Euripides,Sad
sad_21,A sorrow shared is a sorrow halved.,English Proverb,Sad
sad_22,To be forgotten is worse than death.,Latin Proverb,Sad
sad_23,Grief teaches the steadiest hearts to waver.,Sophocles,Sad
sad_24,"Parting is all we know of heaven, and all we need of hell.",Emily Dickinson,Sad
sad_25,"Time does not heal all wounds, but it teaches us to live with them.",Traditional Proverb,Sad
sad_26,Even silence can weep.,Traditional Proverb,Sad
sad_27,Sadness flies away on the wings of time.,Jean de La Fontaine,Sad
sad_28,Tears are the silent language of grief.,Voltaire,Sad
sad_29,Every winter has its spring.,Persian Proverb,Sad
sad_30,The wound is the place where the Light enters you.,Rumi,Sad
angry_01,The greatest remedy for anger is delay.,Seneca the Younger,Angry
angry_02,"If you are patient in one moment of anger, you will escape a hundred days of sorrow.",Chinese Proverb,Angry
angry_03,The best fighter is never angry.,Lao Tzu,Angry
angry_04,"When angry, count to ten before you speak. If very angry, count to one hundred.",Thomas Jefferson,Angry
angry_05,A man who uses force is afraid of reasoning.,African Proverb,Angry
angry_06,"Speak when you are angry, and you will make the best speech you will ever regret.",Ambrose Bierce,Angry
angry_07,Whatever is begun in anger ends in shame.,Benjamin Franklin,Angry
angry_08,"Anger, if not restrained, is frequently more hurtful to us than the injury that provokes it.",Seneca the Younger,Angry
angry_09,How much more grievous are the consequences of anger than the causes of it.,Marcus Aurelius,Angry
angry_10,"If you kick a stone in anger, you'll hurt your own foot.",Korean Proverb,Angry
angry_11,"When anger rises, think of the consequences.",Confucius,Angry
angry_12,"Anger is never without a reason, but seldom a good one.",Benjamin Franklin,Angry
angry_13,Not the fastest horse can catch a word spoken in anger.,Chinese Proverb,Angry
angry_14,Beware of the anger of a patient man.,Irish Proverb,Angry
angry_15,"If you do not wish to be prone to anger, do not feed the habit.",Epictetus,Angry
angry_16,He who digs a grave for his enemy might as well be digging one for himself.,African Proverb,Angry
angry_17,A man's mouth often breaks his nose.,Irish Proverb,Angry
angry_18,The best revenge is to be unlike him who performed the injury.,Marcus Aurelius,Angry
angry_19,In anger we should refrain both from speech and action.,Pythagoras,Angry
angry_20,A moment of patience...saves a thousand moments of regret.,Traditional Proverb,Angry
angry_21,An action committed in anger is an action doomed to failure.,Genghis Khan,Angry
angry_22,"When you are offended at any man's fault, turn to yourself and study your own failings.",Epictetus,Angry
angry_23,Anger is a wind which blows out the lamp of the mind.,Robert Green Ingersoll,Angry
angry_24,Holding on to anger is like grasping a hot coal with the intent of throwing it at someone else; you are the one who gets burned.,Siddhartha Gautama,Angry
angry_25,"For every minute you remain angry, you give up sixty seconds of peace of mind.",Ralph Waldo Emerson,Angry
angry_26,"A gentle answer turns away wrath, but a harsh word stirs up anger.",Aesop,Angry
angry_27,He who angers you conquers you.,Elizabeth Kenny,Angry
angry_28,Anger is an acid that can do more harm to the vessel in which it is stored than to anything on which it is poured.,Mark Twain,Angry
angry_29,"Let us not look back in anger, nor forward in fear, but around in awareness.",James Thurber,Angry
angry_30,The fire you kindle for your enemy often burns yourself more than him.,Chinese Proverb,Angry
surprised_01,Wonder is the beginning of wisdom.,Socrates,Surprised
surprised_02,The earth has music for those who listen.,George Santayana,Surprised
surprised_03,The world is but a canvas to our imagination.,Henry David Thoreau,Surprised
surprised_04,Curiosity is the lust of the mind.,Thomas Hobbes,Surprised
surprised_05,"To see a world in a grain of sand, and a heaven in a wild flower.",William Blake,Surprised
surprised_06,The invariable mark of wisdom is to see the miraculous in the common.,Ralph Waldo Emerson,Surprised
surprised_07,"Look deep into nature, and then you will understand everything better.",Albert Einstein,Surprised
surprised_08,The real voyage of discovery consists not in seeking new landscapes but in having new eyes.,Marcel Proust,Surprised
surprised_09,The universe is wider than our views of it.,Henry David Thoreau,Surprised
surprised_10,Nature always wears the colors of the spirit.,Ralph Waldo Emerson,Surprised
surprised_11,The fairest thing we can experience is the mysterious.,Albert Einstein,Surprised
surprised_12,Every new beginning comes from some other beginning's end.,Seneca,Surprised
surprised_13,Joy in looking and comprehending is nature's most beautiful gift.,Albert Einstein,Surprised
surprised_14,Nature is full of infinite causes that have never occurred in experience.,Leonardo da Vinci,Surprised
